<<<<<<< HEAD
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
#,#,#,#,#,#,#,#,#,#,#,#,#,E,#
#,c,c,c,c,c,c,c,c,c,#,c,c,c,#
#,#,#,c,#,c,#,#,#,#,#,c,#,#,#
#,c,c,c,#,c,#,c,c,c,#,c,#,c,#
#,c,#,#,#,c,#,c,#,#,#,c,#,c,#
#,c,#,c,c,c,c,c,#,c,c,c,c,c,#
#,c,#,c,#,#,#,#,#,#,#,c,#,c,#
#,c,#,c,c,c,c,c,c,c,#,c,#,c,#
#,c,#,#,#,c,#,#,#,c,#,#,#,c,#
#,c,c,c,#,c,#,c,#,c,c,c,c,c,#
#,#,#,c,#,#,#,c,#,#,#,#,#,#,#
#,c,#,c,c,c,#,c,#,c,c,c,c,c,#
#,c,#,#,#,c,#,c,#,c,#,#,#,c,#
#,c,c,c,c,c,c,c,c,c,c,c,#,c,S
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
=======
W,W,W,W,W,W,W,W,W,W,W,W,W,E,W
W,L,L,L,L,L,L,L,L,L,W,L,L,L,W
W,W,W,L,W,L,W,W,W,W,W,L,W,W,W
W,L,L,L,W,L,W,L,L,L,W,L,W,L,W
W,L,W,W,W,L,W,L,W,W,W,L,W,L,W
W,L,W,L,L,L,L,L,W,L,L,L,L,L,W
W,L,W,L,W,W,W,W,W,W,W,L,W,L,W
W,L,W,L,L,L,L,L,L,L,W,L,W,L,W
W,L,W,W,W,L,W,W,W,L,W,W,W,L,W
W,L,L,L,W,L,W,L,W,L,L,L,L,L,W
W,W,W,L,W,W,W,L,W,W,W,W,W,W,W
W,L,W,L,L,L,W,L,W,L,L,L,L,L,W
W,L,W,W,W,L,W,L,W,L,W,W,W,L,W
W,L,L,L,L,L,L,L,L,L,L,L,W,L,S
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
>>>>>>> develop
